.\motions\CHICHI03\TCU138-W.AT2,1.17
.\motions\NORTHR\H12180.AT2,1.15
.\motions\CHICHI06\TCU076-E.AT2,1.19
.\motions\LOMAP\GIL067.AT2,1.00
.\motions\NORTHR\VAS090.AT2,1.17
.\motions\NORTHR\LV3090.AT2,1.30
.\motions\MORGAN\G01230.AT2,1.41
.\motions\ITALY\B-CTR000.AT2,1.11
.\motions\NORTHR\HOW330.AT2,1.20
.\motions\ITALY\B-BAG270.AT2,1.48
