# target,,uncorrected (10 iterations),,,,extrapolated (11 iterations),,,,high frequency slope correction (7 iterations),,,
# period (s),sa (g),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s)
,,,,0.236346,0.0266108,,,0.122657,0.0168157,,,0.122657,0.0167999
,,,,0.237064,0.0265276,,,0.123114,0.016847,,,0.123114,0.0168311
,,,,0.237785,0.0264468,,,0.123572,0.0168783,,,0.123572,0.0168624
,,,,0.238508,0.0263683,,,0.124031,0.0169096,,,0.124031,0.0168937
,,,,0.239233,0.0262922,,,0.124493,0.016941,,,0.124493,0.0169251
,,,,0.239961,0.0262186,,,0.124956,0.0169725,,,0.124956,0.0169566
,,,,0.24069,0.0261474,,,0.125421,0.0170041,,,0.125421,0.0169881
,,,,0.241422,0.0260786,,,0.125887,0.0170357,,,0.125887,0.0170196
,,,,0.242156,0.0260123,,,0.126356,0.0170673,,,0.126356,0.0170513
,,,,0.242892,0.0259484,,,0.126826,0.017099,,,0.126826,0.017083
,,,,0.243631,0.0258871,,,0.127298,0.0171308,,,0.127298,0.0171147
,,,,0.244372,0.0258283,,,0.127771,0.0171627,,,0.127771,0.0171465
,,,,0.245115,0.0257719,,,0.128246,0.0171945,,,0.128246,0.0171784
,,,,0.24586,0.0257181,,,0.128724,0.0172265,,,0.128724,0.0172103
,,,,0.246608,0.0256669,,,0.129202,0.0172585,,,0.129202,0.0172423
,,,,0.247357,0.0256181,,,0.129683,0.0172906,,,0.129683,0.0172743
,,,,0.24811,0.0255719,,,0.130166,0.0173227,,,0.130166,0.0173064
,,,,0.248864,0.0255283,,,0.13065,0.0173549,,,0.13065,0.0173386
,,,,0.249621,0.0254872,,,0.131136,0.0173872,,,0.131136,0.0173708
,,,,0.25038,0.0254486,,,0.131624,0.0174195,,,0.131624,0.0174031
,,,,0.251141,0.0254126,,,0.132113,0.0174518,,,0.132113,0.0174354
,,,,0.251905,0.0253792,,,0.132605,0.0174843,,,0.132605,0.0174678
,,,,0.25267,0.0253483,,,0.133098,0.0175168,,,0.133098,0.0175003
,,,,0.253439,0.0253199,,,0.133593,0.0175493,,,0.133593,0.0175328
,,,,0.254209,0.025294,,,0.13409,0.0175819,,,0.13409,0.0175654
,,,,0.254982,0.0252707,,,0.134589,0.0176146,,,0.134589,0.017598
,,,,0.255758,0.0252499,,,0.13509,0.0176473,,,0.13509,0.0176307
,,,,0.256535,0.0252316,,,0.135592,0.0176801,,,0.135592,0.0176635
,,,,0.257315,0.0252159,,,0.136097,0.017713,,,0.136097,0.0176963
,,,,0.258098,0.0252026,,,0.136603,0.0177459,,,0.136603,0.0177292
,,,,0.258882,0.0251917,,,0.137111,0.0177789,,,0.137111,0.0177621
,,,,0.25967,0.0251834,,,0.137621,0.0178119,,,0.137621,0.0177952
,,,,0.260459,0.0251774,,,0.138133,0.017845,,,0.138133,0.0178282
,,,,0.261251,0.0251739,,,0.138647,0.0178782,,,0.138647,0.0178614
,,,,0.262045,0.0251728,,,0.139163,0.0179114,,,0.139163,0.0178945
,,,,0.262842,0.0251741,,,0.13968,0.0179447,,,0.13968,0.0179278
,,,,0.263641,0.0251778,,,0.1402,0.017978,,,0.1402,0.0179611
,,,,0.264443,0.0251838,,,0.140722,0.0180114,,,0.140722,0.0179945
,,,,0.265247,0.0251922,,,0.141245,0.0180449,,,0.141245,0.0180279
,,,,0.266054,0.0252028,,,0.141771,0.0180784,,,0.141771,0.0180614
,,,,0.266862,0.0252158,,,0.142298,0.018112,,,0.142298,0.018095
,,,,0.267674,0.0252309,,,0.142827,0.0181457,,,0.142827,0.0181286
,,,,0.268488,0.0252484,,,0.143359,0.0181794,,,0.143359,0.0181623
,,,,0.269304,0.025268,,,0.143892,0.0182132,,,0.143892,0.0181961
,,,,0.270123,0.0252898,,,0.144427,0.018247,,,0.144427,0.0182299
,,,,0.270944,0.0253137,,,0.144965,0.018281,,,0.144965,0.0182638
,,,,0.271768,0.0253398,,,0.145504,0.0183149,,,0.145504,0.0182977
,,,,0.272594,0.0253679,,,0.146045,0.018349,,,0.146045,0.0183317
,,,,0.273423,0.0253981,,,0.146588,0.0183831,,,0.146588,0.0183658
,,,,0.274255,0.0254303,,,0.147134,0.0184172,,,0.147134,0.0183999
,,,,0.275089,0.0254646,,,0.147681,0.0184514,,,0.147681,0.0184341
,,,,0.275925,0.0255008,,,0.14823,0.0184857,,,0.14823,0.0184683
,,,,0.276764,0.0255389,,,0.148782,0.0185201,,,0.148782,0.0185027
,,,,0.277605,0.0255789,,,0.149335,0.0185545,,,0.149335,0.018537
