# target,,uncorrected (10 iterations),,,,extrapolated (11 iterations),,,,high frequency slope correction (7 iterations),,,
# period (s),sa (g),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s)
,,,,0.507937,0.0391286,,,0.312661,0.0289269,,,0.312661,0.0289304
,,,,0.509481,0.0391653,,,0.313824,0.0290082,,,0.313824,0.0290114
,,,,0.51103,0.0392015,,,0.314992,0.0290898,,,0.314992,0.0290926
,,,,0.512584,0.0392374,,,0.316163,0.0291715,,,0.316163,0.0291741
,,,,0.514143,0.039273,,,0.31734,0.0292535,,,0.31734,0.0292557
,,,,0.515706,0.0393082,,,0.31852,0.0293356,,,0.31852,0.0293375
,,,,0.517274,0.039343,,,0.319705,0.029418,,,0.319705,0.0294196
,,,,0.518847,0.0393775,,,0.320894,0.0295005,,,0.320894,0.0295018
,,,,0.520424,0.0394116,,,0.322088,0.0295833,,,0.322088,0.0295842
,,,,0.522007,0.0394454,,,0.323286,0.0296662,,,0.323286,0.0296667
,,,,0.523594,0.0394789,,,0.324489,0.0297493,,,0.324489,0.0297495
,,,,0.525186,0.039512,,,0.325696,0.0298325,,,0.325696,0.0298324
,,,,0.526783,0.0395449,,,0.326908,0.029916,,,0.326908,0.0299155
,,,,0.528385,0.0395773,,,0.328124,0.0299996,,,0.328124,0.0299987
,,,,0.529991,0.0396095,,,0.329345,0.0300833,,,0.329345,0.0300821
,,,,0.531603,0.0396414,,,0.33057,0.0301673,,,0.33057,0.0301656
,,,,0.533219,0.0396729,,,0.3318,0.0302513,,,0.3318,0.0302493
,,,,0.53484,0.0397042,,,0.333034,0.0303355,,,0.333034,0.0303332
,,,,0.536466,0.0397351,,,0.334273,0.0304199,,,0.334273,0.0304171
,,,,0.538098,0.0397658,,,0.335516,0.0305043,,,0.335516,0.0305012
,,,,0.539734,0.0397962,,,0.336764,0.0305889,,,0.336764,0.0305855
,,,,0.541375,0.0398263,,,0.338017,0.0306737,,,0.338017,0.0306698
,,,,0.543021,0.0398561,,,0.339275,0.0307585,,,0.339275,0.0307543
,,,,0.544672,0.0398856,,,0.340537,0.0308435,,,0.340537,0.0308389
,,,,0.546328,0.0399149,,,0.341804,0.0309285,,,0.341804,0.0309235
,,,,0.547989,0.039944,,,0.343075,0.0310137,,,0.343075,0.0310083
,,,,0.549655,0.0399728,,,0.344351,0.0310989,,,0.344351,0.0310932
,,,,0.551327,0.0400013,,,0.345632,0.0311843,,,0.345632,0.0311781
,,,,0.553003,0.0400296,,,0.346918,0.0312697,,,0.346918,0.0312632
,,,,0.554685,0.0400577,,,0.348209,0.0313552,,,0.348209,0.0313483
,,,,0.556371,0.0400855,,,0.349504,0.0314407,,,0.349504,0.0314334
,,,,0.558063,0.0401131,,,0.350804,0.0315263,,,0.350804,0.0315187
,,,,0.55976,0.0401406,,,0.352109,0.031612,,,0.352109,0.031604
,,,,0.561462,0.0401678,,,0.353419,0.0316977,,,0.353419,0.0316893
,,,,0.563169,0.0401948,,,0.354734,0.0317835,,,0.354734,0.0317747
,,,,0.564881,0.0402216,,,0.356054,0.0318693,,,0.356054,0.0318601
,,,,0.566599,0.0402482,,,0.357378,0.0319551,,,0.357378,0.0319456
,,,,0.568321,0.0402747,,,0.358708,0.0320409,,,0.358708,0.0320311
,,,,0.57005,0.040301,,,0.360042,0.0321268,,,0.360042,0.0321166
,,,,0.571783,0.0403271,,,0.361382,0.0322126,,,0.361382,0.0322021
,,,,0.573521,0.040353,,,0.362726,0.0322984,,,0.362726,0.0322876
,,,,0.575265,0.0403788,,,0.364075,0.0323843,,,0.364075,0.0323731
,,,,0.577014,0.0404045,,,0.36543,0.0324701,,,0.36543,0.0324586
,,,,0.578769,0.04043,,,0.366789,0.0325559,,,0.366789,0.0325441
,,,,0.580529,0.0404554,,,0.368154,0.0326417,,,0.368154,0.0326295
,,,,0.582294,0.0404807,,,0.369523,0.0327274,,,0.369523,0.0327149
,,,,0.584064,0.0405059,,,0.370898,0.032813,,,0.370898,0.0328003
,,,,0.58584,0.0405309,,,0.372278,0.0328986,,,0.372278,0.0328857
,,,,0.587621,0.0405558,,,0.373663,0.0329842,,,0.373663,0.0329709
,,,,0.589408,0.0405807,,,0.375053,0.0330697,,,0.375053,0.0330561
,,,,0.5912,0.0406055,,,0.376448,0.0331551,,,0.376448,0.0331413
,,,,0.592998,0.0406301,,,0.377848,0.0332404,,,0.377848,0.0332263
,,,,0.594801,0.0406548,,,0.379254,0.0333256,,,0.379254,0.0333113
,,,,0.596609,0.0406793,,,0.380665,0.0334107,,,0.380665,0.0333962
,,,,0.598423,0.0407038,,,0.382081,0.0334957,,,0.382081,0.033481
,,,,0.600243,0.0407282,,,0.383502,0.0335805,,,0.383502,0.0335656
,,,,0.602068,0.0407526,,,0.384929,0.0336652,,,0.384929,0.0336502
,,,,0.603899,0.040777,,,0.386361,0.0337498,,,0.386361,0.0337346
,,,,0.605735,0.0408013,,,0.387798,0.0338343,,,0.387798,0.0338188
,,,,0.607577,0.0408256,,,0.389241,0.0339186,,,0.389241,0.033903
,,,,0.609424,0.0408499,,,0.390689,0.0340027,,,0.390689,0.033987
,,,,0.611277,0.0408741,,,0.392142,0.0340866,,,0.392142,0.0340708
,,,,0.613136,0.0408984,,,0.393601,0.0341704,,,0.393601,0.0341544
,,,,0.615,0.0409227,,,0.395065,0.0342539,,,0.395065,0.0342379
,,,,0.61687,0.0409469,,,0.396535,0.0343373,,,0.396535,0.0343211
,,,,0.618746,0.0409712,,,0.39801,0.0344205,,,0.39801,0.0344042
,,,,0.620627,0.0409955,,,0.399491,0.0345034,,,0.399491,0.0344871
,,,,0.622514,0.0410199,,,0.400977,0.0345861,,,0.400977,0.0345697
,,,,0.624407,0.0410442,,,0.402469,0.0346686,,,0.402469,0.0346522
,,,,0.626305,0.0410686,,,0.403966,0.0347508,,,0.403966,0.0347344
,,,,0.62821,0.0410931,,,0.405469,0.0348327,,,0.405469,0.0348163
,,,,0.63012,0.0411176,,,0.406977,0.0349144,,,0.406977,0.034898
,,,,0.632036,0.0411422,,,0.408491,0.0349958,,,0.408491,0.0349794
,,,,0.633957,0.0411668,,,0.410011,0.035077,,,0.410011,0.0350606
,,,,0.635885,0.0411915,,,0.411536,0.0351578,,,0.411536,0.0351415
,,,,0.637818,0.0412162,,,0.413067,0.0352383,,,0.413067,0.035222
,,,,0.639758,0.0412411,,,0.414603,0.0353185,,,0.414603,0.0353023
,,,,0.641703,0.041266,,,0.416146,0.0353984,,,0.416146,0.0353823
,,,,0.643654,0.041291,,,0.417694,0.035478,,,0.417694,0.0354619
,,,,0.645611,0.0413161,,,0.419248,0.0355572,,,0.419248,0.0355413
,,,,0.647574,0.0413413,,,0.420807,0.035636,,,0.420807,0.0356202
,,,,0.649543,0.0413665,,,0.422373,0.0357145,,,0.422373,0.0356989
,,,,0.651518,0.0413919,,,0.423944,0.0357927,,,0.423944,0.0357771
,,,,0.653499,0.0414174,,,0.425521,0.0358704,,,0.425521,0.035855
,,,,0.655486,0.041443,,,0.427104,0.0359477,,,0.427104,0.0359326
,,,,0.657479,0.0414687,,,0.428693,0.0360247,,,0.428693,0.0360097
,,,,0.659478,0.0414946,,,0.430288,0.0361012,,,0.430288,0.0360864
,,,,0.661484,0.0415205,,,0.431889,0.0361773,,,0.431889,0.0361628
,,,,0.663495,0.0415466,,,0.433495,0.036253,,,0.433495,0.0362387
,,,,0.665512,0.0415728,,,0.435108,0.0363283,,,0.435108,0.0363141
,,,,0.667536,0.0415991,,,0.436726,0.036403,,,0.436726,0.0363892
,,,,0.669566,0.0416255,,,0.438351,0.0364774,,,0.438351,0.0364638
,,,,0.671601,0.0416521,,,0.439982,0.0365512,,,0.439982,0.0365379
,,,,0.673643,0.0416788,,,0.441619,0.0366246,,,0.441619,0.0366115
,,,,0.675692,0.0417056,,,0.443261,0.0366975,,,0.443261,0.0366847
,,,,0.677746,0.0417325,,,0.44491,0.03677,,,0.44491,0.0367574
,,,,0.679807,0.0417596,,,0.446566,0.0368419,,,0.446566,0.0368296
,,,,0.681874,0.0417869,,,0.448227,0.0369133,,,0.448227,0.0369013
,,,,0.683947,0.0418142,,,0.449894,0.0369841,,,0.449894,0.0369725
,,,,0.686027,0.0418417,,,0.451568,0.0370545,,,0.451568,0.0370432
,,,,0.688113,0.0418693,,,0.453248,0.0371243,,,0.453248,0.0371134
,,,,0.690205,0.0418971,,,0.454934,0.0371936,,,0.454934,0.037183
,,,,0.692304,0.041925,,,0.456626,0.0372623,,,0.456626,0.037252
,,,,0.694409,0.041953,,,0.458325,0.0373304,,,0.458325,0.0373205
,,,,0.69652,0.0419811,,,0.46003,0.037398,,,0.46003,0.0373885
,,,,0.698638,0.0420094,,,0.461741,0.037465,,,0.461741,0.0374558
,,,,0.700762,0.0420378,,,0.463459,0.0375315,,,0.463459,0.0375226
,,,,0.702893,0.0420663,,,0.465183,0.0375973,,,0.465183,0.0375889
,,,,0.70503,0.042095,,,0.466914,0.0376626,,,0.466914,0.0376545
,,,,0.707174,0.0421238,,,0.468651,0.0377272,,,0.468651,0.0377195
,,,,0.709324,0.0421527,,,0.470394,0.0377913,,,0.470394,0.037784
,,,,0.711481,0.0421817,,,0.472144,0.0378547,,,0.472144,0.0378478
,,,,0.713644,0.0422108,,,0.4739,0.0379176,,,0.4739,0.037911
,,,,0.715814,0.0422401,,,0.475663,0.0379798,,,0.475663,0.0379736
,,,,0.71799,0.0422694,,,0.477433,0.0380413,,,0.477433,0.0380356
,,,,0.720173,0.0422989,,,0.479209,0.0381023,,,0.479209,0.0380969
,,,,0.722363,0.0423285,,,0.480992,0.0381626,,,0.480992,0.0381576
,,,,0.72456,0.0423582,,,0.482781,0.0382223,,,0.482781,0.0382177
,,,,0.726763,0.042388,,,0.484577,0.0382814,,,0.484577,0.0382771
,,,,0.728972,0.0424178,,,0.48638,0.0383398,,,0.48638,0.0383359
,,,,0.731189,0.0424478,,,0.488189,0.0383976,,,0.488189,0.0383941
,,,,0.733412,0.0424779,,,0.490005,0.0384547,,,0.490005,0.0384516
,,,,0.735642,0.042508,,,0.491828,0.0385112,,,0.491828,0.0385085
,,,,0.737879,0.0425382,,,0.493658,0.0385671,,,0.493658,0.0385647
,,,,0.740122,0.0425685,,,0.495494,0.0386223,,,0.495494,0.0386203
,,,,0.742373,0.0425989,,,0.497337,0.0386769,,,0.497337,0.0386753
,,,,0.74463,0.0426293,,,0.499188,0.0387308,,,0.499188,0.0387296
,,,,0.746894,0.0426599,,,0.501045,0.0387841,,,0.501045,0.0387832
,,,,0.749165,0.0426904,,,0.502909,0.0388367,,,0.502909,0.0388362
,,,,0.751443,0.0427211,,,0.504779,0.0388887,,,0.504779,0.0388886
,,,,0.753728,0.0427517,,,0.506657,0.0389401,,,0.506657,0.0389403
,,,,0.75602,0.0427825,,,0.508542,0.0389909,,,0.508542,0.0389914
,,,,0.758318,0.0428133,,,0.510434,0.039041,,,0.510434,0.0390418
,,,,0.760624,0.0428441,,,0.512333,0.0390905,,,0.512333,0.0390917
,,,,0.762937,0.0428749,,,0.514239,0.0391394,,,0.514239,0.0391409
,,,,0.765257,0.0429058,,,0.516152,0.0391877,,,0.516152,0.0391894
,,,,0.767583,0.0429367,,,0.518072,0.0392353,,,0.518072,0.0392374
,,,,0.769917,0.0429677,,,0.519999,0.0392824,,,0.519999,0.0392848
,,,,0.772258,0.0429986,,,0.521934,0.0393288,,,0.521934,0.0393315
,,,,0.774606,0.0430296,,,0.523875,0.0393747,,,0.523875,0.0393777
,,,,0.776962,0.0430605,,,0.525824,0.03942,,,0.525824,0.0394232
,,,,0.779324,0.0430915,,,0.52778,0.0394647,,,0.52778,0.0394682
,,,,0.781694,0.0431225,,,0.529744,0.0395089,,,0.529744,0.0395126
,,,,0.78407,0.0431534,,,0.531714,0.0395525,,,0.531714,0.0395565
,,,,0.786455,0.0431844,,,0.533692,0.0395955,,,0.533692,0.0395998
,,,,0.788846,0.0432153,,,0.535678,0.0396381,,,0.535678,0.0396425
,,,,0.791244,0.0432462,,,0.53767,0.03968,,,0.53767,0.0396847
,,,,0.79365,0.0432771,,,0.539671,0.0397215,,,0.539671,0.0397264
,,,,0.796063,0.043308,,,0.541678,0.0397625,,,0.541678,0.0397675
,,,,0.798484,0.0433388,,,0.543693,0.0398029,,,0.543693,0.0398081
,,,,0.800912,0.0433696,,,0.545716,0.0398429,,,0.545716,0.0398483
,,,,0.803347,0.0434003,,,0.547746,0.0398824,,,0.547746,0.0398879
,,,,0.80579,0.043431,,,0.549784,0.0399214,,,0.549784,0.0399271
,,,,0.80824,0.0434616,,,0.551829,0.03996,,,0.551829,0.0399658
,,,,0.810697,0.0434921,,,0.553882,0.0399981,,,0.553882,0.0400041
,,,,0.813162,0.0435226,,,0.555942,0.0400358,,,0.555942,0.0400419
,,,,0.815635,0.0435531,,,0.55801,0.0400731,,,0.55801,0.0400793
,,,,0.818115,0.0435834,,,0.560086,0.0401099,,,0.560086,0.0401163
,,,,0.820602,0.0436137,,,0.56217,0.0401464,,,0.56217,0.0401529
,,,,0.823097,0.0436438,,,0.564261,0.0401825,,,0.564261,0.040189
,,,,0.8256,0.0436739,,,0.56636,0.0402183,,,0.56636,0.0402249
,,,,0.82811,0.0437039,,,0.568467,0.0402537,,,0.568467,0.0402603
,,,,0.830628,0.0437338,,,0.570582,0.0402887,,,0.570582,0.0402954
,,,,0.833154,0.0437636,,,0.572705,0.0403235,,,0.572705,0.0403302
,,,,0.835687,0.0437932,,,0.574835,0.0403579,,,0.574835,0.0403646
,,,,0.838228,0.0438228,,,0.576974,0.040392,,,0.576974,0.0403988
,,,,0.840777,0.0438522,,,0.57912,0.0404259,,,0.57912,0.0404326
,,,,0.843333,0.0438815,,,0.581274,0.0404594,,,0.581274,0.0404662
,,,,0.845897,0.0439107,,,0.583437,0.0404927,,,0.583437,0.0404995
,,,,0.848469,0.0439397,,,0.585607,0.0405258,,,0.585607,0.0405325
,,,,0.851049,0.0439686,,,0.587786,0.0405587,,,0.587786,0.0405654
,,,,0.853637,0.0439973,,,0.589972,0.0405913,,,0.589972,0.0405979
,,,,0.856232,0.0440259,,,0.592167,0.0406237,,,0.592167,0.0406303
,,,,0.858836,0.0440543,,,0.59437,0.040656,,,0.59437,0.0406625
,,,,0.861447,0.0440826,,,0.596581,0.0406881,,,0.596581,0.0406945
,,,,0.864066,0.0441107,,,0.5988,0.04072,,,0.5988,0.0407264
,,,,0.866694,0.0441386,,,0.601028,0.0407517,,,0.601028,0.040758
,,,,0.869329,0.0441663,,,0.603264,0.0407834,,,0.603264,0.0407896
,,,,0.871972,0.0441938,,,0.605508,0.0408149,,,0.605508,0.040821
,,,,0.874623,0.0442212,,,0.607761,0.0408463,,,0.607761,0.0408523
,,,,0.877283,0.0442484,,,0.610022,0.0408776,,,0.610022,0.0408835
,,,,0.87995,0.0442753,,,0.612291,0.0409089,,,0.612291,0.0409146
,,,,0.882626,0.0443021,,,0.614569,0.04094,,,0.614569,0.0409457
,,,,0.885309,0.0443286,,,0.616855,0.0409712,,,0.616855,0.0409767
,,,,0.888001,0.0443549,,,0.61915,0.0410022,,,0.61915,0.0410076
,,,,0.890701,0.044381,,,0.621453,0.0410333,,,0.621453,0.0410385
,,,,0.89341,0.0444069,,,0.623765,0.0410643,,,0.623765,0.0410693
,,,,0.896126,0.0444325,,,0.626085,0.0410953,,,0.626085,0.0411002
,,,,0.898851,0.0444579,,,0.628414,0.0411263,,,0.628414,0.041131
,,,,0.901584,0.0444831,,,0.630752,0.0411573,,,0.630752,0.0411619
,,,,0.904325,0.044508,,,0.633099,0.0411883,,,0.633099,0.0411927
,,,,0.907075,0.0445327,,,0.635454,0.0412194,,,0.635454,0.0412236
,,,,0.909833,0.0445571,,,0.637818,0.0412505,,,0.637818,0.0412545
,,,,0.912599,0.0445812,,,0.640191,0.0412816,,,0.640191,0.0412855
,,,,0.915374,0.0446051,,,0.642572,0.0413129,,,0.642572,0.0413165
,,,,0.918157,0.0446287,,,0.644963,0.0413441,,,0.644963,0.0413476
,,,,0.920949,0.0446521,,,0.647362,0.0413755,,,0.647362,0.0413787
,,,,0.923749,0.0446751,,,0.64977,0.0414069,,,0.64977,0.04141
,,,,0.926558,0.0446979,,,0.652187,0.0414384,,,0.652187,0.0414413
,,,,0.929375,0.0447204,,,0.654613,0.04147,,,0.654613,0.0414727
,,,,0.932201,0.0447426,,,0.657049,0.0415017,,,0.657049,0.0415042
,,,,0.935036,0.0447645,,,0.659493,0.0415335,,,0.659493,0.0415358
,,,,0.937879,0.0447861,,,0.661946,0.0415655,,,0.661946,0.0415675
,,,,0.94073,0.0448074,,,0.664409,0.0415975,,,0.664409,0.0415993
,,,,0.943591,0.0448284,,,0.666881,0.0416297,,,0.666881,0.0416313
,,,,0.94646,0.0448491,,,0.669361,0.0416619,,,0.669361,0.0416634
,,,,0.949337,0.0448694,,,0.671851,0.0416944,,,0.671851,0.0416956
,,,,0.952224,0.0448895,,,0.674351,0.0417269,,,0.674351,0.0417279
,,,,0.955119,0.0449092,,,0.676859,0.0417596,,,0.676859,0.0417604
,,,,0.958023,0.0449286,,,0.679377,0.0417924,,,0.679377,0.041793
,,,,0.960936,0.0449477,,,0.681905,0.0418254,,,0.681905,0.0418257
,,,,0.963858,0.0449665,,,0.684442,0.0418585,,,0.684442,0.0418586
,,,,0.966789,0.0449849,,,0.686988,0.0418917,,,0.686988,0.0418916
,,,,0.969728,0.045003,,,0.689543,0.0419251,,,0.689543,0.0419248
,,,,0.972677,0.0450207,,,0.692109,0.0419586,,,0.692109,0.0419581
,,,,0.975634,0.0450381,,,0.694683,0.0419923,,,0.694683,0.0419916
,,,,0.978601,0.0450552,,,0.697268,0.0420261,,,0.697268,0.0420252
,,,,0.981576,0.0450719,,,0.699861,0.04206,,,0.699861,0.042059
,,,,0.984561,0.0450883,,,0.702465,0.0420941,,,0.702465,0.0420929
,,,,0.987555,0.0451044,,,0.705078,0.0421283,,,0.705078,0.0421269
,,,,0.990557,0.0451201,,,0.707701,0.0421627,,,0.707701,0.0421611
,,,,0.993569,0.0451354,,,0.710334,0.0421972,,,0.710334,0.0421954
,,,,0.99659,0.0451504,,,0.712976,0.0422318,,,0.712976,0.0422299
,,,,0.99962,0.0451651,,,0.715629,0.0422666,,,0.715629,0.0422644
,,,,1.00266,0.0451794,,,0.718291,0.0423015,,,0.718291,0.0422992
,,,,1.00571,0.0451934,,,0.720963,0.0423365,,,0.720963,0.042334
,,,,1.00877,0.045207,,,0.723645,0.0423716,,,0.723645,0.042369
,,,,1.01183,0.0452203,,,0.726337,0.0424069,,,0.726337,0.042404
,,,,1.01491,0.0452332,,,0.729039,0.0424422,,,0.729039,0.0424392
,,,,1.018,0.0452458,,,0.731751,0.0424776,,,0.731751,0.0424745
,,,,1.02109,0.045258,,,0.734473,0.0425132,,,0.734473,0.0425099
,,,,1.0242,0.0452699,,,0.737206,0.0425488,,,0.737206,0.0425454
,,,,1.02731,0.0452815,,,0.739948,0.0425846,,,0.739948,0.042581
,,,,1.03043,0.0452927,,,0.742701,0.0426204,,,0.742701,0.0426167
,,,,1.03357,0.0453036,,,0.745464,0.0426563,,,0.745464,0.0426524
,,,,1.03671,0.0453141,,,0.748237,0.0426922,,,0.748237,0.0426883
,,,,1.03986,0.0453243,,,0.751021,0.0427282,,,0.751021,0.0427242
,,,,1.04302,0.0453341,,,0.753814,0.0427643,,,0.753814,0.0427601
,,,,1.04619,0.0453437,,,0.756619,0.0428004,,,0.756619,0.0427962
,,,,1.04938,0.0453529,,,0.759433,0.0428366,,,0.759433,0.0428322
,,,,1.05257,0.0453617,,,0.762259,0.0428728,,,0.762259,0.0428683
,,,,1.05577,0.0453703,,,0.765094,0.0429091,,,0.765094,0.0429045
,,,,1.05898,0.0453785,,,0.76794,0.0429453,,,0.76794,0.0429407
,,,,1.0622,0.0453865,,,0.770797,0.0429816,,,0.770797,0.0429769
,,,,1.06543,0.0453941,,,0.773665,0.0430179,,,0.773665,0.0430131
,,,,1.06867,0.0454014,,,0.776543,0.0430542,,,0.776543,0.0430493
,,,,1.07192,0.0454084,,,0.779432,0.0430904,,,0.779432,0.0430855
,,,,1.07517,0.0454151,,,0.782331,0.0431267,,,0.782331,0.0431217
,,,,1.07844,0.0454215,,,0.785242,0.0431629,,,0.785242,0.0431579
,,,,1.08172,0.0454276,,,0.788163,0.0431991,,,0.788163,0.043194
,,,,1.08501,0.0454335,,,0.791095,0.0432353,,,0.791095,0.0432301
,,,,1.08831,0.045439,,,0.794038,0.0432714,,,0.794038,0.0432662
,,,,1.09162,0.0454443,,,0.796992,0.0433074,,,0.796992,0.0433022
,,,,1.09494,0.0454493,,,0.799956,0.0433434,,,0.799956,0.0433382
,,,,1.09827,0.0454541,,,0.802932,0.0433793,,,0.802932,0.043374
,,,,1.10161,0.0454586,,,0.805919,0.0434151,,,0.805919,0.0434098
,,,,1.10496,0.0454629,,,0.808917,0.0434509,,,0.808917,0.0434456
,,,,1.10832,0.0454669,,,0.811927,0.0434865,,,0.811927,0.0434812
,,,,1.11169,0.0454707,,,0.814947,0.043522,,,0.814947,0.0435167
,,,,1.11507,0.0454742,,,0.817979,0.0435574,,,0.817979,0.0435521
,,,,1.11846,0.0454776,,,0.821022,0.0435927,,,0.821022,0.0435874
,,,,1.12186,0.0454807,,,0.824076,0.0436279,,,0.824076,0.0436226
,,,,1.12527,0.0454836,,,0.827142,0.0436629,,,0.827142,0.0436576
,,,,1.12869,0.0454863,,,0.830219,0.0436978,,,0.830219,0.0436925
,,,,1.13212,0.0454889,,,0.833307,0.0437325,,,0.833307,0.0437272
,,,,1.13557,0.0454912,,,0.836407,0.043767,,,0.836407,0.0437618
,,,,1.13902,0.0454934,,,0.839519,0.0438013,,,0.839519,0.0437962
,,,,1.14248,0.0454955,,,0.842642,0.0438355,,,0.842642,0.0438304
,,,,1.14596,0.0454973,,,0.845777,0.0438695,,,0.845777,0.0438644
,,,,1.14944,0.0454991,,,0.848923,0.0439033,,,0.848923,0.0438983
,,,,1.15293,0.0455007,,,0.852081,0.0439368,,,0.852081,0.0439319
,,,,1.15644,0.0455021,,,0.855251,0.0439702,,,0.855251,0.0439653
,,,,1.15996,0.0455035,,,0.858432,0.0440033,,,0.858432,0.0439985
,,,,1.16348,0.0455047,,,0.861626,0.0440362,,,0.861626,0.0440314
,,,,1.16702,0.0455059,,,0.864831,0.0440688,,,0.864831,0.0440641
,,,,1.17057,0.045507,,,0.868048,0.0441012,,,0.868048,0.0440966
,,,,1.17413,0.045508,,,0.871278,0.0441333,,,0.871278,0.0441288
,,,,1.1777,0.0455089,,,0.874519,0.0441652,,,0.874519,0.0441607
,,,,1.18128,0.0455098,,,0.877772,0.0441968,,,0.877772,0.0441924
,,,,1.18487,0.0455106,,,0.881038,0.0442281,,,0.881038,0.0442237
,,,,1.18847,0.0455114,,,0.884315,0.0442591,,,0.884315,0.0442548
,,,,1.19209,0.0455122,,,0.887605,0.0442898,,,0.887605,0.0442856
,,,,1.19571,0.045513,,,0.890907,0.0443202,,,0.890907,0.0443161
,,,,1.19935,0.0455138,,,0.894221,0.0443502,,,0.894221,0.0443463
,,,,1.20299,0.0455146,,,0.897548,0.04438,,,0.897548,0.0443761
,,,,1.20665,0.0455154,,,0.900887,0.0444094,,,0.900887,0.0444056
,,,,1.21032,0.0455163,,,0.904238,0.0444385,,,0.904238,0.0444348
,,,,1.214,0.0455172,,,0.907602,0.0444673,,,0.907602,0.0444637
,,,,1.21769,0.0455182,,,0.910978,0.0444957,,,0.910978,0.0444922
,,,,1.2214,0.0455192,,,0.914367,0.0445237,,,0.914367,0.0445203
,,,,1.22511,0.0455204,,,0.917769,0.0445514,,,0.917769,0.0445481
,,,,1.22883,0.0455216,,,0.921183,0.0445787,,,0.921183,0.0445755
,,,,1.23257,0.0455229,,,0.92461,0.0446056,,,0.92461,0.0446025
,,,,1.23632,0.0455243,,,0.928049,0.0446322,,,0.928049,0.0446292
,,,,1.24008,0.0455259,,,0.931502,0.0446583,,,0.931502,0.0446554
,,,,1.24385,0.0455276,,,0.934967,0.0446841,,,0.934967,0.0446813
,,,,1.24763,0.0455294,,,0.938445,0.0447095,,,0.938445,0.0447068
,,,,1.25142,0.0455314,,,0.941936,0.0447344,,,0.941936,0.0447318
,,,,1.25523,0.0455335,,,0.94544,0.044759,,,0.94544,0.0447565
,,,,1.25904,0.0455358,,,0.948958,0.0447831,,,0.948958,0.0447807
,,,,1.26287,0.0455384,,,0.952488,0.0448068,,,0.952488,0.0448046
,,,,1.26671,0.0455411,,,0.956031,0.0448301,,,0.956031,0.044828
,,,,1.27056,0.045544,,,0.959588,0.044853,,,0.959588,0.0448509
,,,,1.27443,0.0455471,,,0.963157,0.0448755,,,0.963157,0.0448735
,,,,1.2783,0.0455504,,,0.96674,0.0448975,,,0.96674,0.0448956
,,,,1.28219,0.0455539,,,0.970337,0.0449191,,,0.970337,0.0449173
,,,,1.28609,0.0455577,,,0.973947,0.0449402,,,0.973947,0.0449385
,,,,1.29,0.0455617,,,0.97757,0.0449609,,,0.97757,0.0449593
,,,,1.29392,0.045566,,,0.981206,0.0449812,,,0.981206,0.0449797
,,,,1.29785,0.0455705,,,0.984857,0.045001,,,0.984857,0.0449996
,,,,1.3018,0.0455753,,,0.98852,0.0450203,,,0.98852,0.045019
,,,,1.30576,0.0455803,,,0.992198,0.0450393,,,0.992198,0.0450381
,,,,1.30973,0.0455856,,,0.995889,0.0450578,,,0.995889,0.0450566
,,,,1.31371,0.0455912,,,0.999594,0.0450758,,,0.999594,0.0450747
,,,,1.31771,0.045597,,,1.00331,0.0450934,,,1.00331,0.0450924
,,,,1.32171,0.0456031,,,1.00704,0.0451105,,,1.00704,0.0451096
,,,,1.32573,0.0456095,,,1.01079,0.0451272,,,1.01079,0.0451264
,,,,1.32976,0.0456161,,,1.01455,0.0451435,,,1.01455,0.0451428
,,,,1.33381,0.045623,,,1.01833,0.0451593,,,1.01833,0.0451586
,,,,1.33786,0.0456302,,,1.02211,0.0451747,,,1.02211,0.0451741
,,,,1.34193,0.0456377,,,1.02592,0.0451896,,,1.02592,0.0451891
,,,,1.34601,0.0456455,,,1.02973,0.0452041,,,1.02973,0.0452037
,,,,1.3501,0.0456535,,,1.03356,0.0452182,,,1.03356,0.0452178
,,,,1.35421,0.0456618,,,1.03741,0.0452318,,,1.03741,0.0452315
,,,,1.35832,0.0456704,,,1.04127,0.0452451,,,1.04127,0.0452448
,,,,1.36245,0.0456792,,,1.04514,0.0452579,,,1.04514,0.0452577
,,,,1.3666,0.0456884,,,1.04903,0.0452703,,,1.04903,0.0452701
,,,,1.37075,0.0456977,,,1.05293,0.0452822,,,1.05293,0.0452822
,,,,1.37492,0.0457074,,,1.05685,0.0452938,,,1.05685,0.0452938
,,,,1.3791,0.0457172,,,1.06078,0.045305,,,1.06078,0.0453051
,,,,1.38329,0.0457273,,,1.06473,0.0453158,,,1.06473,0.0453159
,,,,1.3875,0.0457377,,,1.06869,0.0453262,,,1.06869,0.0453264
,,,,1.39172,0.0457483,,,1.07266,0.0453363,,,1.07266,0.0453364
,,,,1.39595,0.0457591,,,1.07665,0.0453459,,,1.07665,0.0453462
,,,,1.4002,0.0457701,,,1.08066,0.0453552,,,1.08066,0.0453555
,,,,1.40445,0.0457813,,,1.08468,0.0453642,,,1.08468,0.0453645
,,,,1.40872,0.0457927,,,1.08871,0.0453728,,,1.08871,0.0453732
,,,,1.41301,0.0458043,,,1.09276,0.0453811,,,1.09276,0.0453815
,,,,1.4173,0.0458161,,,1.09683,0.0453891,,,1.09683,0.0453895
,,,,1.42161,0.045828,,,1.10091,0.0453967,,,1.10091,0.0453971
