# Strata OUTPUT -- Ratio -- Bedrock (Outcrop) to 0 (Outcrop) -- Transfer Function
# Example site for the manual figures
# Frequency (Hz),S-1-M-manual-example\G01000.AT2
15.6313,0.685477
15.6814,0.684345
15.7315,0.682597
15.7816,0.68024
15.8317,0.677291
15.8818,0.673776
15.9319,0.66973
15.982,0.665194
16.0321,0.660216
16.0822,0.654846
16.1323,0.649141
16.1824,0.643155
16.2325,0.636945
16.2826,0.630567
16.3327,0.624074
16.3828,0.617518
16.4329,0.610948
16.483,0.604408
16.5331,0.597939
16.5832,0.591577
16.6333,0.585355
16.6834,0.579301
16.7335,0.573441
16.7836,0.567795
16.8337,0.562383
16.8838,0.557219
16.9339,0.552315
16.984,0.547682
17.0341,0.543327
17.0842,0.539256
17.1343,0.535472
17.1844,0.531978
17.2345,0.528774
17.2846,0.525861
17.3347,0.523239
17.3848,0.520904
17.4349,0.518851
17.485,0.517077
17.5351,0.515574
17.5852,0.514339
17.6353,0.513362
17.6854,0.512638
17.7355,0.512156
17.7856,0.511908
17.8357,0.511883
17.8858,0.512069
17.9359,0.512455
17.986,0.513027
18.0361,0.51377
18.0862,0.514669
18.1363,0.515707
18.1864,0.516865
18.2365,0.518124
18.2866,0.519464
18.3367,0.520862
18.3868,0.522296
18.4369,0.52374
18.487,0.52517
18.5371,0.526561
18.5872,0.527885
18.6373,0.529118
18.6874,0.530233
18.7375,0.531203
18.7876,0.532005
18.8377,0.532616
18.8878,0.533013
18.9379,0.533177
18.988,0.533091
19.0381,0.532742
19.0882,0.532118
19.1383,0.531213
19.1884,0.530023
19.2385,0.528547
19.2886,0.526788
19.3387,0.524756
19.3888,0.522461
19.4389,0.519919
19.489,0.517145
19.5391,0.514159
19.5892,0.510982
19.6393,0.507637
19.6894,0.504148
19.7395,0.500537
19.7896,0.496831
19.8397,0.493053
19.8898,0.489226
19.9399,0.485374
19.99,0.48152
20.0401,0.477682
20.0902,0.473881
20.1403,0.470135
20.1904,0.46646
20.2405,0.462871
20.2906,0.459383
20.3407,0.456006
20.3908,0.45275
20.4409,0.449625
20.491,0.446638
20.5411,0.443796
20.5912,0.441104
20.6413,0.438565
20.6914,0.436183
20.7415,0.43396
20.7916,0.431896
20.8417,0.429993
20.8918,0.428249
20.9419,0.426663
20.992,0.425233
21.0421,0.423956
21.0922,0.422828
21.1423,0.421846
21.1924,0.421006
21.2425,0.420301
21.2926,0.419726
21.3427,0.419272
21.3928,0.418933
21.4429,0.418702
21.493,0.418568
21.5431,0.418524
21.5932,0.418559
21.6433,0.418663
21.6934,0.418826
21.7435,0.419035
21.7936,0.41928
21.8437,0.419548
21.8938,0.419826
21.9439,0.420102
21.994,0.420362
22.0441,0.420595
22.0942,0.420786
22.1443,0.420924
22.1944,0.420995
22.2445,0.420988
22.2946,0.420892
22.3447,0.420697
22.3948,0.420394
22.4449,0.419974
22.495,0.419431
22.5451,0.418759
22.5952,0.417954
22.6453,0.417013
22.6954,0.415936
22.7455,0.414722
22.7956,0.413375
22.8457,0.411896
22.8958,0.410293
22.9459,0.408569
22.996,0.406734
23.0461,0.404795
23.0962,0.402761
23.1463,0.400643
23.1964,0.398451
23.2465,0.396196
23.2966,0.393891
23.3467,0.391545
23.3968,0.389171
23.4469,0.38678
23.497,0.384382
23.5471,0.381987
23.5972,0.379607
23.6473,0.37725
23.6974,0.374924
23.7475,0.372639
23.7976,0.370402
23.8477,0.368219
23.8978,0.366097
23.9479,0.364041
23.998,0.362057
24.0481,0.360148
24.0982,0.358318
24.1483,0.35657
24.1984,0.354907
24.2485,0.353328
24.2986,0.351837
24.3487,0.350432
24.3988,0.349115
24.4489,0.347884
24.499,0.346739
24.5491,0.345679
24.5992,0.3447
24.6493,0.343801
24.6994,0.34298
24.7495,0.342232
24.7996,0.341555
24.8497,0.340943
24.8998,0.340394
24.9499,0.339903
25,0.339463
